title,price,location,postdate
Room for rent in Fairfield East,$180,Villawood,07/09/2020
Rent available for a girl,$120,Penshurst,07/09/2020
One single bedroom available now for a female in Bankstown,$160,Bankstown,07/09/2020
Luxury room for rent in Darling Harbour,$400,Pyrmont,07/09/2020
BRAND NEW Private rooms with ensuite bathroom in Pyrmont,$310,Pyrmont,07/09/2020
Huge $200 per week room,$200,Chatswood,07/09/2020
Room available for Pakistani in Campbelltown,$110,Bradbury,07/09/2020
One room available in HomeBush close to train station,$178,Homebush,07/09/2020
Single furnished room for rent in Burwood for female,$185,Burwood,07/09/2020
Bexley North room for rent $150,$150,Bexley North,07/09/2020
Room for rent $160/wk,$160,Sydenham,07/09/2020
Room for rent in Hornsby,$250,Hornsby,07/09/2020
Short stroll to Bondi Junction,$250,Bellevue Hill,07/09/2020
Fabulous Co Living Property In Kensington. Utilities and WIFI included,$200,Kensington,07/09/2020
Quiet Room in Beautiful Bronte minutes from the Beach.,$315,Bronte,07/09/2020
private bedroom/own bathroom plus parking,$250,Ermington,07/09/2020
single room for rent close to Milsons Point Station,$270,Neutral Bay,07/09/2020
Housemate,$200,Kingswood,07/09/2020
Large Single Furnished Room,$200,Maroubra,07/09/2020
Private room for rent in Zetland,$300,Zetland,07/09/2020
private room accommodation private room is available in two room unit,$200,Auburn,07/09/2020
"Macquarie Park Room for Rent - Clean Environment, Convenient Location",$230,North Ryde,07/09/2020
Lovely TWIN and SINGLE rooms available in ULTIMO,$160,Ultimo,07/09/2020
Balcony bedroom,$220,Hornsby,07/09/2020
Fully furnished room is available in pendle hill,$130,Pendle Hill,07/09/2020
1 Bedroom rent for $180pw.,$180,Homebush West,07/09/2020
Room includes all bills,$170,Erskine Park,07/09/2020
Deluxe Room - Modern House Share Furnished AirCon NBN TV,$195,Fairfield East,07/09/2020
"Beautiful, spacious house on quiet street in Maroubra",$280,Maroubra,07/09/2020
Rent a single furnished room for female in Lakemba,$130,Lakemba,07/09/2020
1 bedroom  house for share but free standing,$265,Leumeah,07/09/2020
"Spacious, clean & conveniently located sharehouse - 3 rooms available",$170,Campbelltown,07/09/2020
Double Room for rent Carlton,$160,Carlton,07/09/2020
Room for rent,$220,Kogarah,07/09/2020
Double room for rent Carlton,$220,Carlton,07/09/2020
Large Room for Rent in Modern House,$205,Guildford,07/09/2020
Tidy Affordable Room in  Vintage Style House $155,$155,Petersham,07/09/2020
$150 Master Room 2female 5min walk idcombe station,$150,Lidcombe,07/09/2020
"Room with a view, high floor.",$320,Sydney City,07/09/2020
Private Room Rent,$420,Neutral Bay,07/09/2020
Private room in Neutral Bay (Convenient Location),$250,Neutral Bay,07/09/2020
Private bedroom and bathroom,$370,Waterloo,07/09/2020
Single room,$160,Schofields,07/09/2020
Private room in redfern share house,$195,Redfern,07/09/2020
"2rooms available in Wes Ryde, near train station, Ryde/Meadowbank TAFE",$190,West Ryde,07/09/2020
room to rent,$200,Liverpool,07/09/2020
Room to let in Strathfield 2 minute walk to Strathfield shops and stat,$200,Strathfield,07/09/2020
Furnished private room for rent for an individual girl in Parramata.,$180,Parramatta,07/09/2020
Furnished Private Room,$180,Rockdale,07/09/2020
flat share,$240,Strathfield,07/09/2020
Room for rent  $100 (for shared) $195 (single),$100,Seven Hills,07/09/2020
shared room $100pw perperson NORTHMEAD bus to PARRAMATTA,$100,Sydney City,07/09/2020
Room for Rent - Ultimo near UTS and UNS,$280,Ultimo,07/09/2020
Campsie large bedroom double size bed,$165,Campsie,07/09/2020
"Private room for 300$ at 80 waterloo Rd, Macquaire Univ",$300,Macquarie Park,07/09/2020
Room to rent,$210,Granville,07/09/2020
Room $160,$160,Merrylands West,07/09/2020
Room available Randwick,$250,Kingsford,07/09/2020
Room Available for rent at Harris park,$245,Harris Park,07/09/2020
Wanted: Room Available in Auburn ,$100,Auburn,07/09/2020
Room available in Rockdale!!,$130,Rockdale,07/09/2020
Kingsgrove house,$170,Kingsgrove,07/09/2020
"Room for rent in Brighton Le Sands, Rockdale division.",$205,Rockdale,06/09/2020
Room for rent $140,$140,Blacktown,06/09/2020
Haymarket master room for rent,$350,Haymarket,06/09/2020
Room for rent $140,$140,Blacktown,06/09/2020
Haymarket master room for rent,$350,Haymarket,06/09/2020
Room for Rent,$190,Hornsby,06/09/2020
Share accommodation,$250,Auburn,06/09/2020
Room available in Kingswood,$150,Kingswood,06/09/2020
For couples special discount if you pay   4 months it is  $250/week,$250,Bondi Junction,06/09/2020
Pyrmont Private Rooms x5,$150,Pyrmont,06/09/2020
Two Rooms available for Rent in Renovated Apartment Kogarah.,$290,Kogarah,06/09/2020
WALK TO ROCKDALE STATION! PRIVATE WATERVIEW ROOM!,$200,Rockdale,06/09/2020
Room for Rent Marrickville,$185,Marrickville,06/09/2020
ROOM FOR RENT IN NORTH SYDNEY 2060,$370,North Sydney,06/09/2020
Roomshare,$165,Auburn,06/09/2020
Room available for rent,$170,Pendle Hill,06/09/2020
House for share,$180,Fairfield,06/09/2020
Room available for rent,$100,Marayong,06/09/2020
Room in Rockdale,$160,Rockdale,06/09/2020
Cheap Room in Redfern,$180,Redfern,06/09/2020
Erskineville lovely small studio for rent,$380,Erskineville,06/09/2020
Private room for rent,$165,Harris Park,06/09/2020
House Share,$160,Croydon Park,06/09/2020
Master bedroom for rent for couple or 2 girls,$109,West Ryde,06/09/2020
FLAT SHARE - Modern Rooms with balcony ,$200,Bankstown,06/09/2020
MT Druitt a room for rent,$150,Mount Druitt,06/09/2020
Private spacious Master room for rent,$300,Haymarket,06/09/2020
auburn clean room available right now,$180,Auburn,06/09/2020
"Flatshare, Rent, Room, Campsie",$240,Campsie,06/09/2020
Room for rent,$110,Auburn,06/09/2020
Furnished room house share – single/couple – bills included – Glebe,$300,Glebe,06/09/2020
Second room available,$190,Rockdale,06/09/2020
Private Sunny Room in Ultimo,$200,Ultimo,06/09/2020
Master room,$350,Alexandria,06/09/2020
Room available for rent in SEVEN HILLS,$155,Seven Hills,06/09/2020
*Double Bedroom *Furnished * Parking *Huge Balcony *Rooftop Terrace,$290,Camperdown,06/09/2020
Private room is available,$340,St Leonards,06/09/2020
A quiet room located 150 meters from Revesby station,$210,Revesby,06/09/2020
Room for Rent,$250,Kingsgrove,06/09/2020
Single and Double/twin rooms - all bills included,$120,Marsfield,06/09/2020
Big room for rent - available on 03/10,$220,West Ryde,06/09/2020
Good size room in lovely terrace house $280 pw including bills,$280,Newtown,06/09/2020
Granville townhouse room for rent,$180,Granville,06/09/2020
Single Room for rent Very close to Rockdale Station,$170,Rockdale,06/09/2020
1 single room in kogarah.,$150,Kogarah,06/09/2020
Villa share  with Private room  and garage for rent - bills included,$325,Ermington,06/09/2020
Flatshare Mascot - Genuine Naturist/Nudists only,$350,Mascot,06/09/2020
Huge self contained ensuite room with living in Ryde walk to Top Ryde,$200,Ryde,06/09/2020
Spacious room in Edgecliff at reduced price,$300,Edgecliff,06/09/2020
Coogee Peaceful house and garden close to beach and transport,$300,Randwick,06/09/2020
COOGEE  SPACIOUS  DOUBLE  BEDROOM,$300,Randwick,06/09/2020
Room for Rent/House Share/Shared Accomodation,$170,Leumeah,06/09/2020
Flatshare very close to Collaroy Beach,$350,Collaroy,06/09/2020
Western suburb one rooms for rent,$160,Werrington Downs,06/09/2020
room for rent,$180,Belmore,06/09/2020
Accommodation available for an Indian female in Sydney CBD,$210,Sydney City,06/09/2020
Spacious room available in North Parramatta for FEMALE,$220,North Parramatta,06/09/2020
Fully furnished unit in shared basis stating from 150,$1.50,Mays Hill,06/09/2020
Shared room in the corso Manly beach,$200,Manly,06/09/2020
Room for rent in Blacktown,$150,Blacktown,06/09/2020
Room to rent,$260,Lane Cove,06/09/2020
Room at $20 only,$20,Chatswood West,06/09/2020
Rooms to rent Bondi,$155,Bondi,06/09/2020
International share room available now opposite Central station,$125,Haymarket,06/09/2020
Single room available at Artarmon,$260,Artarmon,06/09/2020
Master bedroom available,$250,Hurstville,06/09/2020
Ashfield apartment near station 2 rooms for single female only,$200,Ashfield,06/09/2020
Sun drenched big bedroom with adjoining second room - $300,$300,Rose Bay,06/09/2020
Private small room in the heart of macquarie park waterloo road,$170,Macquarie Park,06/09/2020
Room for rent,$150,Pendle Hill,06/09/2020
Room for rent in Parramatta Westfield & Station,$230,Parramatta,06/09/2020
Private Room for rent in a shared townhouse,$170,Old Guildford,06/09/2020
Moments to Uni - Bright Compact Room with District views,$200,Randwick,06/09/2020
Room For Rent,$220,Surry Hills,06/09/2020
Room available in parramatta,$250,Harris Park,06/09/2020
Fully furnished deluxe  master bedroom in Chatswood,$350,Chatswood,06/09/2020
Brand new apartment -  private room with private bathroom for rent,$400,Westmead,06/09/2020
2 Rooms for Rent,$200,Ambarvale,06/09/2020
Room for rent,$130,Marayong,06/09/2020
"Room for lease , campsie",$240,Clemton Park,06/09/2020
Queen sized room to rent in large sunny unit in Bondi ,$385,Bondi,06/09/2020
"Furnished Single Bedroom. Close to City, Transport and Amenities",$215,North Strathfield,06/09/2020
A Single Room In Kingsford For a Clean and quiet Non-Smoker,$135,Maroubra,06/09/2020
Sydney City Private Single Study/Sun Room (Female),$150,Haymarket,06/09/2020
Sydney CITY CBD Private Single Room (Female),$230,Haymarket,06/09/2020
$125 Burwood Room Share (Female),$125,Burwood,06/09/2020
Room for rent,$160,Wentworthville,06/09/2020
Small room conveniently located in Parramatta CBD,$110,Parramatta,06/09/2020
Cosy & clean room. with queen bed for single professional or student.,$200,Maroubra,06/09/2020
Private room opposite Harris Park train Station,$150,Parramatta,06/09/2020
"Beautiful, Neat Share Accomodation Fully Furnished including all bills",$120,Cherrybrook,06/09/2020
Looking for single girls to share 2 bedroom unit at lakemba,$150,Lakemba,06/09/2020
Furnished Ensuite Room for Rent in Unique One of a Kind Share House,$440,Surry Hills,06/09/2020
Room to Rent,$400,Bondi,06/09/2020
Excellent Clean & Tidy House – Single/Double Room for Rentc,$150,Revesby,06/09/2020
Room for rent Kingswood near station.,$130,Kingswood,06/09/2020
Specious Room with Separate Bathroom on Rent for vegetarian only,$110,Westmead,06/09/2020
room for rent in blacktown near station,$160,Blacktown,06/09/2020
Private room for $200 including bills for a non smoker in Petersham,$200,Marrickville,06/09/2020
Private room for $200 including bills for a non smoker in Petersham,$200,Marrickville,06/09/2020
Large furnished rooms to rent in Harris Pk near Parramatta,$220,Harris Park,06/09/2020
Twin-rooms in large terrace - inner-west sydney,$270,Canterbury,06/09/2020
Room for rent,$140,Fairfield East,06/09/2020
Room available in new amazing house in Homebush!! Close to the station,$250,Homebush,06/09/2020
Riverwood One Double Room Is Available,$205,Riverwood,06/09/2020
Two rooms available in granny flat,$150,Hebersham,06/09/2020
Looking for nice guys for renting,$180,Cabramatta,06/09/2020
Furnished comfy room available now!!!  Camden Park,$200,Camden Park,06/09/2020
ROOM FOR RENT WOODCROFT BLACKTOWN AREA,$150,Woodcroft,06/09/2020
1 bedroom for rent in Lakemba,$195,Lakemba,06/09/2020
Single Room for Rent in Sutherland,$130,Sutherland,06/09/2020
a room in a townhouse share ( Westmead),$190,Westmead,06/09/2020
Rent a room,$200,Wentworthville,06/09/2020
Two furnished rooms available 6 mins walk Eastwood station,$185,Eastwood,05/09/2020
A sunny room in a beautiful garden house,$280,Chatswood,05/09/2020
"in  apartment ,one room is available for couples/ 2 boys or girls ",$245,Auburn,05/09/2020
Room for rent in Brighton 190,$190,Brighton-le-sands,05/09/2020
Single room for rent in Strathfield,$175,Strathfield,05/09/2020
Large room for rent in Strathfield,$220,Strathfield,05/09/2020
Short term room for rent,$180,Wollstonecraft,05/09/2020
Walk 3mins from train station one bed room for rent,$145,Homebush West,05/09/2020
Second Bedroom Availablein Strathfield for 2girls or a single girl !!,$130,Strathfield,05/09/2020
Large Private Room furnished,$160,Merrylands,05/09/2020
"Large room for a couple, 2 friends or single in Chippendale",$280,Chippendale,05/09/2020
Single room available,$170,Campsie,05/09/2020
Pet friendly Room to rent,$180,Gosford,05/09/2020
Room for Rent!,$180,Toongabbie,05/09/2020
room available in campsie,$170,Campsie,05/09/2020
Room in shared apartment,$325,Sydney City,05/09/2020
Room for rent 270/w,$270,Pyrmont,05/09/2020
Room for rent in marrickville,$200,Marrickville,05/09/2020
Room for rent Toongabbie,$150,Toongabbie,05/09/2020
Private Room,$220,Auburn,05/09/2020
Master Bedroom for rent in Waterloo,$300,Waterloo,05/09/2020
Furnished room available in Redfern,$200,Redfern,05/09/2020
Large sunny room for rent,$300,Queenscliff,05/09/2020
Single room to rent in North Bondi,$220,North Bondi,05/09/2020
Strathfield One Large Bedroom for Rent. All Bills Included,$220,Strathfield,05/09/2020
Double Room for rent Darlington $310,$310,Darlington,05/09/2020
Room for Rent for Indian couple or single girls/ boys,$230,Harris Park,05/09/2020
Room to rent !!!,$235,Padstow,05/09/2020
Master Bedroom with private bathroom. Burwood,$300,Burwood,05/09/2020
Single room for rent Bondi,$200,Bondi,05/09/2020
Giant master in brand new mansion Frenchs Forest,$460,Killarney Heights,05/09/2020
Fully furnished Room for rent,$160,Woodcroft,05/09/2020
Strathfield - CLEAN Single and Twin-Share Rooms,$180,Strathfield,05/09/2020
Rent a room,$170,Campbelltown,05/09/2020
Room available in Lidcombe,$260,Lidcombe,05/09/2020
room to share,$250,Hurstville,05/09/2020
Fully furnished master bedroom available in Wolli Creek.,$250,Wolli Creek,05/09/2020
Single Room for rent,$80,Revesby,05/09/2020
Beautiful room available in Ashfield,$190,Ashfield,05/09/2020
Room available canterbury 3mins walk to station,$250,Canterbury,05/09/2020
Fully furnished single room for $325 near Wynard Station for Female ,$325,Millers Point,05/09/2020
Room for rent at Marsfield,$170,Marsfield,05/09/2020
Share accommodation,$70,Berala,05/09/2020
Furnished Room with Private Bathroom,$270,Camperdown,05/09/2020
Big Room with Ducted Aircon,$170,Riverwood,05/09/2020
Chatswood master room 200 / other 150,$200,Chatswood West,05/09/2020
Herring Rd-walk to Macquarie Uni &shopping centre,$185,Marsfield,05/09/2020
Flatmate wanted for Bankstown 2200,$180,Bankstown,05/09/2020
Private room available,$290,Pyrmont,05/09/2020
"Furnished Contemporary House, UniStud, WorkVisaWelc. M:",$180,Newtown,05/09/2020
Private room Leichhardt $160,$160,Leichhardt,05/09/2020
FULLY FURNISHED ROOM FOR A COUPLE OR A SINGLE,$300,North Manly,05/09/2020
Share house Lidcombe,$190,Lidcombe,05/09/2020
Private Master Bedroom with En-suite ,$320,Wolli Creek,05/09/2020
Room for rent,$100,Mount Druitt,05/09/2020
Ensuite Private Bedroom for Rent,$400,Zetland,05/09/2020
Room available in campsie,$170,Campsie,05/09/2020
Room for rent,$220,North Balgowlah,05/09/2020
Room for rent,$225,Waitara,05/09/2020
Second room and living room available at flemington,$230,Homebush West,05/09/2020
Sunny Large Room in Wollstonecraft - Discount till 24/11 (per week),$296.25,Wollstonecraft,05/09/2020
"1 space available for 1 girl in 3 girls sharing room @ Burwood, NSW",$110,Burwood,05/09/2020
Furnished room for rent,$150,Riverwood,05/09/2020
Wanted: City Girl house-share,$140,Ultimo,05/09/2020
Room for rent in Chatswood!,$290,Chatswood,05/09/2020
"SINGLE ,DOUBLE ,TWIN ROOM available - GLEBE",$260,Forest Lodge,05/09/2020
Single private room for rent,$140,Blacktown,05/09/2020
Room for rent,$120,North Parramatta,05/09/2020
Fully Furnished Campsie Share Apartment,$185,Campsie,05/09/2020
"Stunning water view, Great housemates, Modern house Floorboards",$200,Oatley,05/09/2020
Chatswood room for rent,$160,Chatswood,05/09/2020
Ashfield-Accommodation with Indian professionals.,$170,Ashfield,05/09/2020
Double room,$350,Bellevue Hill,05/09/2020
Room for rent,$170,Kings Langley,05/09/2020
Spacious room for rent in kogarah ( close to station ),$120,Kogarah,05/09/2020
Furnished Studio $260 wk incl bills just bring your clothes,$260,Marrickville,05/09/2020
"Room for rent ,7 minutes walking from Wiley Park train station ",$130,Wiley Park,05/09/2020
Room for rent in West Ryde,$170,West Ryde,05/09/2020
room for rent,$250,Rosebery,05/09/2020
Room For Rent,$210,Parramatta,05/09/2020
room fore rent - wolli creek / turrella,$220,Turrella,05/09/2020
Great Location- Rose Bay / Bellevue Hill,$230,Bellevue Hill,05/09/2020
Great Location- Rose Bay / Bellevue Hill,$230,Bellevue Hill,05/09/2020
Private room for rent with own bathroom & gym,$230,Parramatta,05/09/2020
Room for rent available now!!,$200,Riverstone,05/09/2020
en-suite master bed room in the city,$330,Sydney City,05/09/2020
Room for share in Auburn,$120,Auburn,05/09/2020
Room available for  a single person,$200,Hillsdale,05/09/2020
Flat Share Master Cozy Double Bedroom In  CBD Goulburn St. Surry Hills,$350,Surry Hills,05/09/2020
Private Studio Room for rent with toilet,$180,Merrylands,05/09/2020
"Good sized, PRIVATE room w balcony in centrally located Ultimo",$260,Ultimo,05/09/2020
Master room in olli reek modern  for rent,$260,Wolli Creek,05/09/2020
"38 The Avenue, Hurstville",$125,Hurstville,05/09/2020
"Kogarah modern  large room with own balcony, close to station",$190,Kogarah,05/09/2020
Affordable single room steps to Coogee Beach,$264,Coogee,05/09/2020
One Bedroom Flat,$250,Petersham,05/09/2020
Room for rent,$240,Carlingford,05/09/2020
Wanted: Room available at Rockdale,$125,Rockdale,05/09/2020
Room for rent in ashfield,$200,Ashfield,05/09/2020
Larger sunny room in ingsford close to UNSW Randwick coogee,$200,Kingsford,05/09/2020
"Cozy Single Bed Room Behind Darling Harbour, Ultimo.Available Now",$170,Ultimo,05/09/2020
Lange Cozy Bedroom with Balcony Behind Darling Harbour Ultimo,$350,Ultimo,05/09/2020
a room for  houseshare in Matraville 2036,$165,Matraville,05/09/2020
Single room - 1 min walk to Hurstville,$160,Hurstville,05/09/2020
double or master room to rent in Ultimo,$320,Ultimo,05/09/2020
Apartment Queen 2nd room available in Bondi from Sept 18..,$295,Bondi Beach,05/09/2020
Looking for a sharemate in Bankstown,$180,Bankstown,05/09/2020
Furnished Room St Leonards Crows Nest North Sydney INCLUDE BILLS,$270,Naremburn,05/09/2020
Room for Rent - Very close to Parramatta and Harris Park Station,$260,Parramatta,05/09/2020
Flatmates Required - Sutherland Shire Area,$220,Miranda,05/09/2020
Wanted: Room for rent at Rockdale,$270,Rockdale,05/09/2020
Master room and single room for rent in rydalmere,$200,Rydalmere,05/09/2020
2  Furnished Rooms  to rent in a  lovely terracce in Redfern . $ 160,$160,Eveleigh,05/09/2020
Private room for rent in Bankstown,$170,Bankstown,05/09/2020
Room for rent,$260,Ryde,05/09/2020
7mins to lidcombe train station and shopping center,$180,Lidcombe,05/09/2020
Room for rent.,$140,Blacktown,05/09/2020
PRIVATE ROOM AVAILABLE!! with bathroom,$280,Newtown,05/09/2020
Quiet living room for rent - CBD,$180,Haymarket,05/09/2020
Shared Room for ladies,$165,Macquarie Park,05/09/2020
ROOM FOR RENT (Single),$180,Ashbury,05/09/2020
Shared room for female at Parramatta - 10 mins walk to train station,$150,Parramatta,05/09/2020
Shared rooms for males at Parramatta - close to trains station,$150,Parramatta,05/09/2020
Room for rent Bankstown,$150,Bankstown,05/09/2020
Second room $270(2 ppl - couple or friends) @North apartment,$270,Sydney City,05/09/2020
"Accomodation Available - strathfield, Hyderabadi Muslim",$140,Strathfield,05/09/2020
"Female shareroom CITY, behind Darling Harbor, Own key",$140,Pyrmont,05/09/2020
Single room for lease Macquarie park,$330,Macquarie Park,04/09/2020
Private Room,$190,Marsfield,04/09/2020
"Private Room available  spacious 3bd garden apartment, Vaucluse",$200,Vaucluse,04/09/2020
Room for sharing,$200,Toongabbie,04/09/2020
Single room available for a girl,$140,Blacktown,04/09/2020
Need a nepali girl to share a room with (  $120 per \ week rent ),$117,North Strathfield,04/09/2020
spacious bright room next to MQ Balaclava road,$200,Marsfield,04/09/2020
Share home with a Muslim Couple in Mount Druitt,$160,Mount Druitt,04/09/2020
Good Size Room For Rent,$140,Wollstonecraft,04/09/2020
2x spacious light filled rooms in inner west for rent,$243,Leichhardt,04/09/2020
"Rental Property search team up, Inner Western Sydney",$180,Ashfield,04/09/2020
Room for Rent [Baulkham Hills],$210,Baulkham Hills,04/09/2020
Kogarah Security Unit Large Room for rent(Close to station),$190,Kogarah,04/09/2020
"192 vimiera road, marsfield, 2 big double rooms $95",$95,Marsfield,04/09/2020
ROOM FOR RENT,$160,Rockdale,04/09/2020
Looking for nepalese couple or single for unit sharing,$250,Berala,04/09/2020
Rockdale Gardens Apartment - one big room for rent,$240,Rockdale,04/09/2020
A  big and bright room in Carlingford,$150,Carlingford,04/09/2020
"large room with large wardrobe & own fridge, clean, cosy, convienent",$220,Ashfield,04/09/2020
Shared House in Glebe,$300,Glebe,04/09/2020
Single bedroom with ensuite in Westmead,$200,Westmead,04/09/2020
House for rent,,Blacktown,04/09/2020
OWN SINGLE ROOM 245AUD PW ALL BILLS INCLUDED females only,$245,Randwick,04/09/2020
Room for rent in Wentworthville,$230,Wentworthville,04/09/2020
Room for Rent at Fairmount St (Close to Lakemba St),$160,Lakemba,04/09/2020
"Macquarie uni best room for rent-spacious, bright, quiet, clost to all",$200,Marsfield,04/09/2020
Room in rent available,$250,Ashfield,04/09/2020
"Macquarie uni best room for rent-spacious, bright, quiet, clost to all",$200,Marsfield,04/09/2020
Room in rent available,$250,Ashfield,04/09/2020
House for Share,$190,Dee Why,04/09/2020
Room for rent,$180,Kogarah Bay,04/09/2020
QUEEN SIZE ROOM (CLEANING & BILLS INCL.),$200,Wolli Creek,04/09/2020
Epping single room $200pw,$200,Epping,04/09/2020
Furnished Single Bedroom - Split Level Unit,$290,Zetland,04/09/2020
One bed room  in two bed room unit,$200,Auburn,04/09/2020
Room Available MASCOT,$340,St Peters,04/09/2020
Furnished Room Next to UNSW - Kingsford,$220,Kingsford,04/09/2020
Amazing waterfront Apartment for flatshare,$350,Queenscliff,04/09/2020
Second room for rent,$270,Mascot,04/09/2020
Padstow station 2 single rooms to rent,$175,Padstow,04/09/2020
Free room on beautiful farm ,,Windsor,04/09/2020
Own Master Room Sydney City All Bills included,$400,Sydney City,04/09/2020
City-Pyrmont   big double room $300( for two people ),$300,Pyrmont,04/09/2020
"Dee Why Beach - Couple/Single, One or two Rooms available",$320,Dee Why,04/09/2020
Blaxland Blue Mountains Houseshare,$215,Blaxland,04/09/2020
Shared Accomodation for students - 100$,$100,Westmead,04/09/2020
A private room in Lane Cove,$250,Lane Cove,04/09/2020
TWO Furnished room available,$1.15,South Penrith,04/09/2020
Large private ensuite room with built-ins in Bondi $365 per week,$365,Bondi,04/09/2020
AVAILABLE NOW - HURSTVILLE/ALLAWAH,$250,Hurstville,04/09/2020
second twin room $120/w male,$120,Pyrmont,04/09/2020
Randwick room to rent $140 per week 17 cowper st,$140,Randwick,04/09/2020
your own private spacious room at Burwood,$145,Burwood,04/09/2020
"Furnished double room for single $200/week, Ashfield",$200,Ashfield,04/09/2020
Private Room in Glebe,$270,Glebe,04/09/2020
Master room for girls only,$120,Pendle Hill,04/09/2020
Cleaned Room FOr ReNt,$170,St Marys,04/09/2020
Free ONE week RenT❤️*master room and study room ❤️upto $140❤️❤️❤️,$140,Macquarie Park,04/09/2020
1 master room| 1bathroom| 1 parking - Granville,$250,Granville,04/09/2020
Private Big Room In Greystanes ,$120,Parramatta,04/09/2020
Room for Rent,$160,St Marys,04/09/2020
Room for rent in Harris Park,$220,Harris Park,04/09/2020
Garden view rooms available in centre Leichhardt,$220,Leichhardt,04/09/2020
Room available,$280,Allawah,04/09/2020
Room for rent in GLENWOOD with BED ( Indian girl only ),$129,Glenwood,04/09/2020
We have a room to rent,$145,Lidcombe,04/09/2020
Private and furnished room kogarah,$220,Kogarah,04/09/2020
Room Available at Flemington ,$260,Homebush West,04/09/2020
Room for rent Kogarah,$200,Kogarah,04/09/2020
Close to UTS and University of Sydney,$180,Redfern,04/09/2020
Double bed room with en suite bathroom near Bankstown Airport AUD 240,$240,Georges Hall,04/09/2020
ROOM FOR RENT IN NEW TWO BEDROOMS UNIT IN NEXT TOO MERRLANDS STATION,$160,Merrylands,04/09/2020
Room for rent,$230,Westmead,04/09/2020
"Master Room with Separate Bathroom, 5 Minutes Walk to Station",$210,Parramatta,04/09/2020
Master Room for rent,$320,Burwood,04/09/2020
Room4Rent,$175,West Ryde,04/09/2020
Are you looking for a Nice place to Stay,$150,Auburn,04/09/2020
Sunny & furnished room to share in two bedrooms Granny Flat for rent,$200,Hornsby,04/09/2020
Spacious room in Liverpool available!,$160,Liverpool,04/09/2020
**$180/$125**DBL/SGL bed room in the clean flat,$180,Homebush West,04/09/2020
Room for rent,$180,Parramatta,04/09/2020
2 rooms for lease in Marsfield,$140,Marsfield,04/09/2020
Student Accommodation,$280,Allambie Heights,04/09/2020
Single Room Available,$225,Stanmore,04/09/2020
Furnished large room for rent in a house in casula,$175,Casula,04/09/2020
Sunny Room Becomes Available,$160,Redfern,04/09/2020
Room share,$150,Plumpton,04/09/2020
Room for Rent,$150,Marsfield,04/09/2020
Large room in spacious Victorian home,$240,Kogarah,04/09/2020
Blacktown share house,$160,Blacktown,04/09/2020
Furnished Room For Rent,$250,Auburn,04/09/2020
North Sydney STUDENTS PRIVATE and Twin Sharing Rooms for rent!!,$157,North Sydney,04/09/2020
A big room rent in North Ryde business area,$165,North Ryde,04/09/2020
"OWN furnished PRIVATE ROOM, Paddington",$260,Paddington,04/09/2020
Private room with own toilet available near St Peters Stn - Incl Bills,$275,Newtown,04/09/2020
"Lidcombe Private room, close to station and Woolworths. House share",$170,Lidcombe,04/09/2020
Accommodation Student Macquarie Uni,$170,Macquarie Park,04/09/2020
5  bedrooms for rent whole or share  gordon 2072,$150,Gordon,04/09/2020
Clean and spacious room in Ryde,$200,Ryde,04/09/2020
Clean and spacious room in Ryde,$200,Ryde,04/09/2020
Private room with bathroom for rent,$260,Mascot,04/09/2020
Very handy location available for sharing,,Wentworthville,04/09/2020
Bedroom available in Ermington,$190,Ermington,04/09/2020
BURWOOD: Room for rent for 4 months,$170,Burwood,04/09/2020
Zero Deposit 1 Bedroom,$180,Auburn,04/09/2020
House to Share: Manly Vale 3 bedrooms freestanding house w/ garden,$350,Manly Vale,04/09/2020
Wanted: flat share needed with Hilltop road public school catchment,,Merrylands,04/09/2020
SPACIOUS ROOM IN LARGE CHIPPENDALE TERRACE FOR RENT,$300,Chippendale,04/09/2020
Room in Lane Cove Penthouse - Bills and Cleaner included,$260,Lane Cove North,04/09/2020
Dulwich Hill-queer gay lesbian house double loft Aircon ALL bills!,$330,Newtown,04/09/2020
FEMALE ONLY - SINGLE ROOM FOR RENT IN MARRICKVILLE ,$220,Marrickville,04/09/2020
Room for rent in Harris Park nearer to station,$245,Harris Park,03/09/2020
Flatmates wanted in campbelltown,$140,Ruse,03/09/2020
Completely furnished Room for rent at west pennant hills,$270,West Pennant Hills,03/09/2020
Private room at Maroubra Beach,$200,Maroubra,03/09/2020
Room available in strathfield for sharing for Guy,$120,Strathfield,03/09/2020
Big Room near Parramatta CBD,$150,Parramatta,03/09/2020
Ryde Christian Share House Overheads Included,$400,Ryde,03/09/2020
Room for rent,$210,Ryde,03/09/2020
Sharing room available for girl at Kogarah,$115,Kogarah,03/09/2020
Room in Coogee available from 3/10.,$290,Coogee,03/09/2020
Furnished Rooms for Rent from $200 (Wi-Fi Provided),$200,Marsfield,03/09/2020
Student Accommodation In Sydney For A Reasonable Price,$100,Sydney City,03/09/2020
clean and new unit,$280,Haymarket,03/09/2020
Wanted: Eastwood - close to train station,$250,West Ryde,03/09/2020
"Private room, own bathroom + car space in Mascot",$320,Mascot,03/09/2020
"Room for Rent in leafy two level townhouse, Macquaire Park, North Ryde",$190,Macquarie Park,03/09/2020
Bankstown Apartment roomate  want,$170,Bankstown,03/09/2020
room for rent,$125,Wiley Park,03/09/2020
Room for rent,$100,Merrylands,03/09/2020
large room to rent in rockdale,$230,Rockdale,03/09/2020
